"Step","resilient-blaze-9 - step_crash","resilient-blaze-9 - step_crash__MIN","resilient-blaze-9 - step_crash__MAX"
"1114","1","1","1"
"1120","3","3","3"
"1122","3","3","3"
"1124","3","3","3"
"1130","2","2","2"
"1134","3","3","3"
"1136","2","2","2"
"1142","3","3","3"
"1146","7","7","7"
"1150","0","0","0"
"1154","3","3","3"
"1156","4","4","4"
"1160","5","5","5"
"1162","1","1","1"
"1164","2","2","2"
"1172","1","1","1"
"1174","3","3","3"
"1182","7","7","7"
"1184","3","3","3"
"1186","0","0","0"
"1188","3","3","3"
"1194","3","3","3"
"1202","2","2","2"
"1206","0","0","0"
"1208","3","3","3"
"1210","1","1","1"
"1220","0","0","0"
"1222","3","3","3"
"1224","4","4","4"
"1226","4","4","4"
"1230","1","1","1"
"1232","3","3","3"
"1234","6","6","6"
"1240","1","1","1"
"1246","3","3","3"
"1248","5","5","5"
"1250","0","0","0"
"1252","1","1","1"
"1278","0","0","0"
"1282","1","1","1"
"1284","2","2","2"
"1286","5","5","5"
"1290","1","1","1"
"1294","3","3","3"
"1296","1","1","1"
"1298","3","3","3"
"1304","1","1","1"
"1308","3","3","3"
"1310","2","2","2"
"1314","4","4","4"
"1316","5","5","5"
"1318","2","2","2"
"1322","2","2","2"
"1328","3","3","3"
"1332","3","3","3"
"1340","0","0","0"
"1344","1","1","1"
"1346","1","1","1"
"1350","1","1","1"
"1352","2","2","2"
"1354","0","0","0"
"1356","4","4","4"
"1358","1","1","1"
"1360","4","4","4"
"1364","3","3","3"
"1368","2","2","2"
"1372","1","1","1"
"1374","1","1","1"
"1380","1","1","1"
"1392","1","1","1"
"1400","2","2","2"
"1402","1","1","1"
"1404","2","2","2"
"1406","2","2","2"
"1416","0","0","0"
"1418","2","2","2"
"1422","1","1","1"
"1432","0","0","0"
"1438","3","3","3"
"1440","4","4","4"
"1444","3","3","3"
"1446","1","1","1"
"1452","1","1","1"
"1454","0","0","0"
"1460","0","0","0"
"1462","2","2","2"
"1472","0","0","0"
"1474","0","0","0"
"1478","1","1","1"
"1482","2","2","2"
"1486","0","0","0"
"1496","1","1","1"
"1498","0","0","0"
"1500","2","2","2"
"1510","1","1","1"
"1512","1","1","1"
"1514","1","1","1"
"1516","0","0","0"
"1518","2","2","2"
"1522","0","0","0"
"1524","3","3","3"
"1526","1","1","1"
"1528","1","1","1"
"1530","1","1","1"
"1534","0","0","0"
"1536","0","0","0"
"1538","3","3","3"
"1540","0","0","0"
"1542","1","1","1"
"1544","0","0","0"
"1546","1","1","1"
"1548","1","1","1"
"1552","1","1","1"
"1554","0","0","0"
"1556","0","0","0"
"1568","0","0","0"
"1570","0","0","0"
"1574","1","1","1"
"1584","3","3","3"
"1586","3","3","3"
"1588","3","3","3"
"1592","1","1","1"
"1594","0","0","0"
"1600","0","0","0"
"1602","0","0","0"
"1608","0","0","0"
"1612","1","1","1"
"1614","1","1","1"
"1616","0","0","0"
"1618","1","1","1"
"1624","0","0","0"
"1628","3","3","3"
"1632","1","1","1"
"1634","0","0","0"
"1636","2","2","2"
"1638","0","0","0"
"1648","0","0","0"
"1650","2","2","2"
"1666","1","1","1"
"1668","1","1","1"
"1670","2","2","2"
"1672","0","0","0"
"1678","1","1","1"
"1680","2","2","2"
"1682","3","3","3"
"1684","2","2","2"
"1688","1","1","1"
"1696","1","1","1"
"1700","0","0","0"
"1704","0","0","0"
"1706","1","1","1"
"1710","0","0","0"
"1712","0","0","0"
"1714","1","1","1"
"1716","1","1","1"
"1720","0","0","0"
"1724","0","0","0"
"1726","0","0","0"
"1728","1","1","1"
"1730","0","0","0"
"1732","0","0","0"
"1740","1","1","1"
"1744","0","0","0"
"1754","0","0","0"
"1756","0","0","0"
"1760","1","1","1"
"1764","1","1","1"
"1772","0","0","0"
"1778","0","0","0"
"1780","0","0","0"
"1794","0","0","0"
"1796","0","0","0"
"1802","0","0","0"
"1804","2","2","2"
"1812","0","0","0"
"1814","0","0","0"
"1816","0","0","0"
"1818","0","0","0"
"1824","1","1","1"
"1828","0","0","0"
"1830","2","2","2"
"1834","0","0","0"
"1836","0","0","0"
"1838","1","1","1"
"1840","0","0","0"
"1852","1","1","1"
"1856","2","2","2"
"1858","0","0","0"
"1864","0","0","0"
"1870","1","1","1"
"1878","0","0","0"
"1882","0","0","0"
"1884","1","1","1"
"1888","1","1","1"
"1892","1","1","1"
"1894","0","0","0"
"1908","2","2","2"
"1910","0","0","0"
"1914","0","0","0"
"1918","2","2","2"
"1920","0","0","0"
"1922","0","0","0"
"1926","0","0","0"
"1934","0","0","0"
"1938","0","0","0"
"1940","3","3","3"
"1944","2","2","2"
"1946","0","0","0"
"1952","0","0","0"
"1958","0","0","0"
"1962","0","0","0"
"1966","0","0","0"
"1968","0","0","0"
"1970","0","0","0"
"1980","1","1","1"
"1986","0","0","0"
"1988","0","0","0"
"1992","1","1","1"
"1994","3","3","3"
"1996","2","2","2"
"1998","0","0","0"
"2000","0","0","0"
"2002","0","0","0"
"2004","0","0","0"
"2008","0","0","0"
"2010","0","0","0"
"2014","0","0","0"
"2018","0","0","0"
"2020","0","0","0"
"2022","3","3","3"
"2024","1","1","1"
"2030","1","1","1"
"2032","0","0","0"
"2038","1","1","1"
"2040","0","0","0"
"2046","1","1","1"
"2048","1","1","1"
"2050","1","1","1"
"2054","2","2","2"
"2056","0","0","0"
"2062","0","0","0"
"2064","0","0","0"
"2068","0","0","0"
"2070","0","0","0"
"2076","1","1","1"
"2078","0","0","0"
"2082","1","1","1"
"2084","0","0","0"
"2086","0","0","0"
"2088","2","2","2"
"2090","0","0","0"
"2092","0","0","0"
"2096","1","1","1"
"2100","0","0","0"
"2110","0","0","0"
"2112","0","0","0"
"2114","0","0","0"
"2116","0","0","0"
"2118","0","0","0"
"2122","0","0","0"
"2126","1","1","1"
"2132","1","1","1"
"2134","1","1","1"
"2136","1","1","1"
"2138","1","1","1"
"2140","1","1","1"
"2144","0","0","0"
"2146","0","0","0"
"2148","0","0","0"
"2152","0","0","0"
"2154","0","0","0"
"2162","1","1","1"
"2164","2","2","2"
"2166","2","2","2"
"2172","0","0","0"
"2174","1","1","1"
"2180","2","2","2"
"2182","0","0","0"
"2184","0","0","0"
"2186","1","1","1"
"2188","0","0","0"
"2190","0","0","0"
"2192","0","0","0"
"2196","1","1","1"
"2202","0","0","0"
"2204","1","1","1"
"2212","0","0","0"
"2228","1","1","1"
"2234","0","0","0"
"2236","0","0","0"
"2242","0","0","0"
"2244","0","0","0"
"2248","0","0","0"
"2250","1","1","1"
"2252","0","0","0"
"2258","1","1","1"
"2260","0","0","0"
"2266","0","0","0"
"2270","1","1","1"
"2272","0","0","0"
"2274","0","0","0"
"2286","0","0","0"
"2288","1","1","1"
"2290","0","0","0"
"2294","2","2","2"
"2296","0","0","0"
"2306","0","0","0"
"2312","1","1","1"
"2318","0","0","0"
"2320","1","1","1"
"2324","0","0","0"
"2326","0","0","0"
"2330","0","0","0"
"2332","0","0","0"
"2336","1","1","1"
"2338","1","1","1"
"2342","2","2","2"
"2344","1","1","1"
"2348","1","1","1"
"2352","0","0","0"
"2354","0","0","0"
"2360","1","1","1"
"2364","1","1","1"
"2366","0","0","0"
"2372","0","0","0"
"2374","1","1","1"
"2378","0","0","0"
"2382","0","0","0"
"2386","0","0","0"
"2390","0","0","0"
"2392","0","0","0"
"2396","0","0","0"
"2400","0","0","0"
"2410","0","0","0"
"2414","0","0","0"
"2424","1","1","1"
"2428","1","1","1"
"2430","0","0","0"
"2434","0","0","0"
"2436","0","0","0"
"2440","0","0","0"
"2442","0","0","0"
"2450","0","0","0"
"2460","0","0","0"
"2462","0","0","0"
"2464","0","0","0"
"2466","0","0","0"
"2468","0","0","0"
"2470","0","0","0"
"2476","0","0","0"
"2478","1","1","1"
"2486","0","0","0"
"2488","0","0","0"
"2496","1","1","1"
"2500","1","1","1"
"2502","0","0","0"
"2514","0","0","0"
"2516","1","1","1"
"2518","0","0","0"
"2522","0","0","0"
"2526","0","0","0"
"2528","0","0","0"
"2530","0","0","0"
"2538","0","0","0"
"2546","0","0","0"
"2548","0","0","0"
"2550","0","0","0"
"2554","0","0","0"
"2556","0","0","0"
"2562","0","0","0"
"2564","0","0","0"
"2570","0","0","0"
"2576","0","0","0"
"2578","0","0","0"
"2580","0","0","0"
"2584","1","1","1"
"2586","0","0","0"
"2602","1","1","1"
"2604","1","1","1"
"2608","0","0","0"
"2610","0","0","0"
"2612","0","0","0"
"2614","0","0","0"
"2616","0","0","0"
"2618","0","0","0"
"2620","0","0","0"
"2622","0","0","0"
"2626","0","0","0"
"2628","0","0","0"
"2630","0","0","0"
"2638","0","0","0"
"2640","0","0","0"
"2642","0","0","0"
"2644","0","0","0"
"2646","1","1","1"
"2648","2","2","2"
"2650","0","0","0"
"2654","0","0","0"
"2658","2","2","2"
"2662","1","1","1"
"2666","0","0","0"
"2668","0","0","0"
"2670","0","0","0"
"2674","0","0","0"
"2676","0","0","0"
"2678","0","0","0"
"2682","0","0","0"
"2686","0","0","0"
"2688","0","0","0"
"2690","1","1","1"
"2696","0","0","0"
"2700","0","0","0"
"2702","0","0","0"
"2708","0","0","0"
"2714","1","1","1"
"2718","0","0","0"
"2722","0","0","0"
"2726","0","0","0"
"2728","0","0","0"
"2732","0","0","0"
"2734","0","0","0"
"2740","1","1","1"
"2748","0","0","0"
"2750","2","2","2"
"2752","0","0","0"
"2758","0","0","0"
"2760","1","1","1"
"2764","0","0","0"
"2766","0","0","0"
"2768","0","0","0"
"2774","0","0","0"
"2778","0","0","0"
"2782","1","1","1"
"2784","0","0","0"
"2788","0","0","0"
"2792","0","0","0"
"2794","0","0","0"
"2796","1","1","1"
"2798","0","0","0"
"2800","0","0","0"
"2814","0","0","0"
"2824","0","0","0"
"2830","0","0","0"
"2832","0","0","0"
"2834","0","0","0"
"2842","0","0","0"
"2846","0","0","0"
"2848","0","0","0"
"2850","0","0","0"
"2870","0","0","0"
"2872","0","0","0"
"2874","0","0","0"
"2876","0","0","0"
"2880","0","0","0"
"2884","0","0","0"
"2892","0","0","0"
"2894","1","1","1"
"2900","0","0","0"
"2902","0","0","0"
"2910","0","0","0"
"2918","0","0","0"
"2920","0","0","0"
"2922","0","0","0"
"2930","0","0","0"
"2934","0","0","0"
"2936","0","0","0"
"2938","0","0","0"
"2940","0","0","0"
"2944","0","0","0"
"2952","0","0","0"
"2956","0","0","0"
"2964","0","0","0"
"2968","0","0","0"
"2970","0","0","0"
"2976","0","0","0"
"2980","0","0","0"
"2984","0","0","0"
"2988","0","0","0"
"2990","0","0","0"
"2996","0","0","0"
"2998","0","0","0"
"3006","0","0","0"
"3012","0","0","0"
"3018","0","0","0"
"3020","0","0","0"
"3022","0","0","0"
"3024","0","0","0"
"3026","0","0","0"
"3028","0","0","0"
"3034","0","0","0"
"3036","1","1","1"
"3040","0","0","0"
"3044","0","0","0"
"3054","0","0","0"
"3056","0","0","0"
"3058","1","1","1"
"3060","0","0","0"
"3062","0","0","0"
"3064","0","0","0"
"3066","0","0","0"
"3072","0","0","0"
"3076","0","0","0"
"3080","0","0","0"
"3082","0","0","0"
"3084","0","0","0"
"3088","0","0","0"
"3094","0","0","0"
"3096","0","0","0"
"3098","0","0","0"
"3100","0","0","0"
"3104","0","0","0"
"3110","0","0","0"
"3126","0","0","0"
"3128","1","1","1"
"3132","1","1","1"
"3136","0","0","0"
"3138","0","0","0"
"3140","0","0","0"
"3146","0","0","0"
"3150","0","0","0"
"3152","0","0","0"
"3158","0","0","0"
"3160","0","0","0"
"3166","0","0","0"
"3178","0","0","0"
"3182","0","0","0"
"3184","0","0","0"
"3190","0","0","0"
"3192","0","0","0"
"3194","0","0","0"
"3196","0","0","0"
"3200","0","0","0"
"3202","0","0","0"
"3204","0","0","0"
"3208","0","0","0"
"3214","0","0","0"
"3216","0","0","0"
"3220","0","0","0"
"3224","0","0","0"
"3226","0","0","0"
"3230","0","0","0"
"3238","0","0","0"
"3242","0","0","0"
"3244","0","0","0"
"3246","0","0","0"
"3254","0","0","0"
"3256","0","0","0"
"3258","0","0","0"
"3262","0","0","0"
"3264","0","0","0"
"3268","0","0","0"
"3272","0","0","0"
"3274","0","0","0"
"3282","0","0","0"
"3284","0","0","0"
"3292","0","0","0"
"3294","0","0","0"
"3302","0","0","0"
"3310","0","0","0"
"3314","0","0","0"
"3316","0","0","0"
"3318","0","0","0"
"3320","0","0","0"
"3324","0","0","0"
"3326","0","0","0"
"3330","0","0","0"
"3332","0","0","0"
"3334","0","0","0"
"3336","1","1","1"
"3338","0","0","0"
"3342","0","0","0"
"3344","0","0","0"
"3354","0","0","0"
"3356","0","0","0"
"3362","0","0","0"
"3374","0","0","0"
"3376","0","0","0"
"3378","0","0","0"
"3380","0","0","0"
"3392","0","0","0"
"3394","0","0","0"
"3396","0","0","0"
"3398","0","0","0"
"3408","0","0","0"
"3410","0","0","0"
"3416","0","0","0"
"3418","0","0","0"
"3420","0","0","0"
"3424","0","0","0"
"3426","0","0","0"
"3428","0","0","0"
"3430","0","0","0"
"3434","0","0","0"
"3436","0","0","0"
"3438","0","0","0"
"3440","0","0","0"
"3444","0","0","0"
"3448","0","0","0"
"3462","0","0","0"
"3464","0","0","0"
"3470","0","0","0"
"3472","0","0","0"
"3474","0","0","0"
"3478","0","0","0"
"3486","0","0","0"
"3488","0","0","0"
"3490","0","0","0"
"3492","0","0","0"
"3494","0","0","0"
"3496","0","0","0"
"3500","0","0","0"
"3510","0","0","0"
"3512","0","0","0"
"3514","0","0","0"
"3522","2","2","2"
"3526","0","0","0"
"3530","0","0","0"
"3532","0","0","0"
"3534","0","0","0"
"3540","0","0","0"
"3544","0","0","0"
"3546","0","0","0"
"3554","0","0","0"
"3556","0","0","0"
"3558","0","0","0"
"3560","0","0","0"
"3562","0","0","0"
"3570","0","0","0"
"3574","0","0","0"
"3578","0","0","0"
"3582","0","0","0"
"3584","0","0","0"
"3586","0","0","0"
"3590","0","0","0"
"3592","0","0","0"
"3596","0","0","0"
"3600","0","0","0"
"3602","0","0","0"
"3608","0","0","0"
"3614","0","0","0"
"3616","0","0","0"
"3622","0","0","0"
"3624","0","0","0"
"3632","0","0","0"
"3634","0","0","0"
"3638","0","0","0"
"3640","0","0","0"
"3642","0","0","0"
"3644","0","0","0"
"3646","0","0","0"
"3650","0","0","0"
"3652","0","0","0"
"3654","0","0","0"
"3656","0","0","0"
"3658","0","0","0"
"3662","0","0","0"
"3668","0","0","0"
"3670","0","0","0"
"3674","0","0","0"
"3678","0","0","0"
"3680","0","0","0"
"3682","0","0","0"
"3684","0","0","0"
"3688","0","0","0"
"3694","0","0","0"
"3696","0","0","0"
"3698","0","0","0"
"3710","0","0","0"
"3712","0","0","0"
"3714","0","0","0"
"3724","0","0","0"
"3726","0","0","0"
"3728","0","0","0"
"3730","0","0","0"
"3734","0","0","0"
"3736","0","0","0"
"3742","0","0","0"
"3744","0","0","0"
"3748","0","0","0"
"3750","0","0","0"
"3752","0","0","0"
"3754","0","0","0"
"3756","0","0","0"
"3758","0","0","0"
"3760","0","0","0"
"3770","0","0","0"
"3772","0","0","0"
"3774","0","0","0"
"3776","0","0","0"
"3778","0","0","0"
"3780","1","1","1"
"3782","0","0","0"
"3784","0","0","0"
"3786","0","0","0"
"3788","0","0","0"
"3790","0","0","0"
"3792","0","0","0"
"3794","0","0","0"
"3798","0","0","0"
"3802","0","0","0"
"3808","0","0","0"
"3810","0","0","0"
"3814","0","0","0"
"3832","0","0","0"
"3836","0","0","0"
"3840","0","0","0"
"3842","0","0","0"
"3844","0","0","0"
"3846","0","0","0"
"3850","0","0","0"
"3858","0","0","0"
"3864","0","0","0"
"3866","0","0","0"
"3868","0","0","0"
"3876","0","0","0"
"3878","0","0","0"
"3880","0","0","0"
"3884","0","0","0"
"3888","0","0","0"
"3898","0","0","0"
"3900","0","0","0"
"3904","0","0","0"
"3916","0","0","0"
"3922","0","0","0"
"3924","0","0","0"
"3930","0","0","0"
"3932","0","0","0"
"3936","0","0","0"
"3938","0","0","0"
"3940","0","0","0"
"3942","0","0","0"
"3946","0","0","0"
"3948","0","0","0"
"3950","0","0","0"
"3952","0","0","0"
"3956","0","0","0"
"3958","0","0","0"
"3972","0","0","0"
"3978","0","0","0"
"3982","0","0","0"
"3990","0","0","0"
"3994","0","0","0"
"3996","0","0","0"
"3998","0","0","0"
"4000","0","0","0"
"4002","0","0","0"
"4004","1","1","1"
"4014","0","0","0"
"4018","0","0","0"
"4022","0","0","0"
"4030","0","0","0"
"4036","0","0","0"
"4038","0","0","0"
"4046","0","0","0"
"4056","0","0","0"
"4060","0","0","0"
"4062","0","0","0"
"4064","0","0","0"
"4074","0","0","0"
"4082","0","0","0"
"4084","0","0","0"
"4088","0","0","0"
"4092","0","0","0"
"4106","0","0","0"
"4120","0","0","0"
"4122","0","0","0"
"4126","0","0","0"
"4128","0","0","0"
"4132","0","0","0"
"4134","0","0","0"
"4142","0","0","0"
"4146","0","0","0"
"4152","0","0","0"
"4154","0","0","0"
"4160","0","0","0"
"4164","0","0","0"
"4166","0","0","0"
"4168","0","0","0"
"4174","1","1","1"
"4178","0","0","0"
"4180","0","0","0"
"4182","0","0","0"
"4186","0","0","0"
"4188","0","0","0"
"4190","0","0","0"
"4192","0","0","0"
"4196","0","0","0"
"4198","0","0","0"
"4200","0","0","0"
"4202","0","0","0"
"4206","0","0","0"
"4208","0","0","0"
"4210","0","0","0"
"4214","0","0","0"
"4216","0","0","0"
"4218","0","0","0"
"4220","0","0","0"
"4224","0","0","0"
"4234","0","0","0"
"4236","0","0","0"
"4238","0","0","0"
"4244","0","0","0"
"4250","0","0","0"
"4258","0","0","0"
"4262","0","0","0"
"4266","0","0","0"
"4270","0","0","0"
"4278","0","0","0"
"4282","0","0","0"
"4284","0","0","0"
"4286","0","0","0"
"4288","0","0","0"
"4292","0","0","0"
"4294","1","1","1"
"4296","0","0","0"
"4298","0","0","0"
"4300","0","0","0"
"4304","0","0","0"
"4306","0","0","0"
"4310","0","0","0"
"4312","0","0","0"
"4314","0","0","0"
"4316","0","0","0"
"4322","0","0","0"
"4324","0","0","0"
"4326","0","0","0"
"4328","0","0","0"
"4330","0","0","0"
"4336","0","0","0"
"4340","0","0","0"
"4346","0","0","0"
"4348","0","0","0"
"4350","0","0","0"
"4356","0","0","0"
"4366","0","0","0"
"4370","0","0","0"
"4372","0","0","0"
"4376","0","0","0"
"4380","0","0","0"
"4384","0","0","0"
"4388","0","0","0"
"4396","0","0","0"
"4402","0","0","0"
"4408","0","0","0"
"4412","0","0","0"
"4414","0","0","0"
"4418","0","0","0"
"4424","0","0","0"
"4428","0","0","0"
"4430","0","0","0"
"4432","0","0","0"
"4440","0","0","0"
"4446","0","0","0"
"4448","0","0","0"
"4450","0","0","0"
"4456","0","0","0"
"4458","0","0","0"
"4460","0","0","0"
"4472","0","0","0"
"4474","0","0","0"
"4476","0","0","0"
"4478","0","0","0"
"4482","0","0","0"
"4484","0","0","0"
"4488","0","0","0"
"4490","0","0","0"
"4496","0","0","0"
"4502","0","0","0"
"4504","0","0","0"
"4506","0","0","0"
"4510","0","0","0"
"4514","0","0","0"
"4516","0","0","0"
"4520","0","0","0"
"4532","0","0","0"
"4534","0","0","0"
"4536","0","0","0"
"4540","0","0","0"
"4542","1","1","1"
"4544","0","0","0"
"4546","0","0","0"
"4556","0","0","0"
"4560","0","0","0"
"4564","0","0","0"
"4568","0","0","0"
"4574","0","0","0"
"4576","0","0","0"
"4584","0","0","0"
"4588","0","0","0"
"4592","0","0","0"
"4594","0","0","0"
"4602","0","0","0"
"4606","0","0","0"
"4614","0","0","0"
"4620","0","0","0"
"4624","0","0","0"
"4628","0","0","0"
"4630","0","0","0"
"4634","0","0","0"
"4636","0","0","0"
"4638","0","0","0"
"4642","0","0","0"
"4644","0","0","0"
"4646","0","0","0"
"4648","0","0","0"
"4650","0","0","0"
"4670","1","1","1"
"4680","0","0","0"
"4682","0","0","0"
"4684","0","0","0"
"4688","0","0","0"
"4696","0","0","0"
"4698","0","0","0"
"4702","0","0","0"
"4704","0","0","0"
"4706","0","0","0"
"4708","0","0","0"
"4710","0","0","0"
"4714","0","0","0"
"4718","0","0","0"
"4722","0","0","0"
"4732","0","0","0"
"4734","0","0","0"
"4738","0","0","0"
"4744","0","0","0"
"4748","0","0","0"
"4750","0","0","0"
"4760","0","0","0"
"4762","0","0","0"
"4768","0","0","0"
"4772","0","0","0"
"4774","0","0","0"
"4776","0","0","0"
"4778","0","0","0"
"4780","0","0","0"
"4782","0","0","0"
"4792","0","0","0"
"4794","1","1","1"
"4800","0","0","0"
"4802","0","0","0"
"4806","0","0","0"
"4820","0","0","0"
"4826","0","0","0"
"4828","0","0","0"
"4832","0","0","0"
"4834","0","0","0"
"4836","0","0","0"
"4840","0","0","0"
"4842","0","0","0"
"4846","0","0","0"
"4858","1","1","1"
"4864","0","0","0"
"4870","0","0","0"
"4872","0","0","0"
"4876","0","0","0"
"4880","0","0","0"
"4882","0","0","0"
"4884","0","0","0"
"4886","0","0","0"
"4888","0","0","0"
"4894","0","0","0"
"4896","1","1","1"
"4902","0","0","0"
"4904","0","0","0"
"4906","0","0","0"
"4910","0","0","0"
"4912","0","0","0"
"4914","0","0","0"
"4916","0","0","0"
"4918","0","0","0"
"4920","0","0","0"
"4924","0","0","0"
"4928","0","0","0"
"4930","0","0","0"
"4940","0","0","0"
"4944","0","0","0"
"4948","0","0","0"
"4952","0","0","0"
"4954","0","0","0"
"4962","0","0","0"
"4964","0","0","0"
"4968","0","0","0"
"4970","0","0","0"
"4978","0","0","0"
"4982","0","0","0"
"4986","0","0","0"
"4994","0","0","0"
"4998","0","0","0"
"5000","0","0","0"
"5002","0","0","0"
"5012","0","0","0"
"5014","1","1","1"
"5016","0","0","0"
"5020","0","0","0"
"5026","0","0","0"
"5028","0","0","0"
"5030","0","0","0"
