"Step","resilient-blaze-9 - global_step","resilient-blaze-9 - global_step__MIN","resilient-blaze-9 - global_step__MAX"
"4094","458752","458752","458752"
"4095","458752","458752","458752"
"4096","458752","458752","458752"
"4097","458752","458752","458752"
"4098","475136","475136","475136"
"4099","475136","475136","475136"
"4100","475136","475136","475136"
"4148","475136","475136","475136"
"4149","491520","491520","491520"
"4150","491520","491520","491520"
"4151","491520","491520","491520"
"4462","491520","491520","491520"
"4463","507904","507904","507904"
"4464","507904","507904","507904"
"4465","507904","507904","507904"
"4466","507904","507904","507904"
"4467","524288","524288","524288"
"4468","524288","524288","524288"
"4469","524288","524288","524288"
"4752","524288","524288","524288"
"4753","540672","540672","540672"
"4754","540672","540672","540672"
"4755","540672","540672","540672"
"4756","540672","540672","540672"
"4757","557056","557056","557056"
"4758","557056","557056","557056"
"4759","557056","557056","557056"
"4788","557056","557056","557056"
"4789","573440","573440","573440"
"4790","573440","573440","573440"
"4791","573440","573440","573440"
"5105","573440","573440","573440"
"5106","589824","589824","589824"
"5107","589824","589824","589824"
"5108","589824","589824","589824"
"5109","589824","589824","589824"
"5110","606208","606208","606208"
"5111","606208","606208","606208"
"5112","606208","606208","606208"
"5416","606208","606208","606208"
"5417","622592","622592","622592"
"5418","622592","622592","622592"
"5419","622592","622592","622592"
"5420","622592","622592","622592"
"5421","638976","638976","638976"
"5422","638976","638976","638976"
"5423","638976","638976","638976"
"5434","638976","638976","638976"
"5435","655360","655360","655360"
"5436","655360","655360","655360"
"5437","655360","655360","655360"
"5747","655360","655360","655360"
"5748","671744","671744","671744"
"5749","671744","671744","671744"
"5750","671744","671744","671744"
"5751","671744","671744","671744"
"5752","688128","688128","688128"
"5753","688128","688128","688128"
"5754","688128","688128","688128"
"6066","688128","688128","688128"
"6067","704512","704512","704512"
"6068","704512","704512","704512"
"6069","704512","704512","704512"
"6070","704512","704512","704512"
"6071","720896","720896","720896"
"6072","720896","720896","720896"
"6073","720896","720896","720896"
"6339","720896","720896","720896"
"6340","737280","737280","737280"
"6341","737280","737280","737280"
"6342","737280","737280","737280"
"6343","737280","737280","737280"
"6344","753664","753664","753664"
"6345","753664","753664","753664"
"6346","753664","753664","753664"
"6392","753664","753664","753664"
"6393","770048","770048","770048"
"6394","770048","770048","770048"
"6395","770048","770048","770048"
"6709","770048","770048","770048"
"6710","786432","786432","786432"
"6711","786432","786432","786432"
"6712","786432","786432","786432"
"6713","786432","786432","786432"
"6714","802816","802816","802816"
"6715","802816","802816","802816"
"6716","802816","802816","802816"
"7002","802816","802816","802816"
"7003","819200","819200","819200"
"7004","819200","819200","819200"
"7005","819200","819200","819200"
"7006","819200","819200","819200"
"7007","835584","835584","835584"
"7008","835584","835584","835584"
"7009","835584","835584","835584"
"7033","835584","835584","835584"
"7034","851968","851968","851968"
"7035","851968","851968","851968"
"7036","851968","851968","851968"
"7352","851968","851968","851968"
"7353","868352","868352","868352"
"7354","868352","868352","868352"
"7355","868352","868352","868352"
"7356","868352","868352","868352"
"7357","884736","884736","884736"
"7358","884736","884736","884736"
"7359","884736","884736","884736"
"7661","884736","884736","884736"
"7662","901120","901120","901120"
"7663","901120","901120","901120"
"7664","901120","901120","901120"
"7665","901120","901120","901120"
"7666","917504","917504","917504"
"7667","917504","917504","917504"
"7668","917504","917504","917504"
"7679","917504","917504","917504"
"7680","933888","933888","933888"
"7681","933888","933888","933888"
"7682","933888","933888","933888"
"7998","933888","933888","933888"
"7999","950272","950272","950272"
"8000","950272","950272","950272"
"8001","950272","950272","950272"
"8002","950272","950272","950272"
"8003","966656","966656","966656"
"8004","966656","966656","966656"
"8005","966656","966656","966656"
"8318","966656","966656","966656"
"8319","983040","983040","983040"
"8320","983040","983040","983040"
"8321","983040","983040","983040"
"8322","983040","983040","983040"
"8323","999424","999424","999424"
"8324","999424","999424","999424"
"8325","999424","999424","999424"
"8589","999424","999424","999424"
"8590","1015808","1015808","1015808"
"8591","1015808","1015808","1015808"
"8592","1015808","1015808","1015808"
"8593","1015808","1015808","1015808"
"8594","1032192","1032192","1032192"
"8595","1032192","1032192","1032192"
"8596","1032192","1032192","1032192"
"8646","1032192","1032192","1032192"
"8647","1048576","1048576","1048576"
"8648","1048576","1048576","1048576"
"8649","1048576","1048576","1048576"
"8961","1048576","1048576","1048576"
"8962","1064960","1064960","1064960"
"8963","1064960","1064960","1064960"
"8964","1064960","1064960","1064960"
"8965","1064960","1064960","1064960"
"8966","1081344","1081344","1081344"
"8967","1081344","1081344","1081344"
"8968","1081344","1081344","1081344"
"9249","1081344","1081344","1081344"
"9250","1097728","1097728","1097728"
"9251","1097728","1097728","1097728"
"9252","1097728","1097728","1097728"
"9253","1097728","1097728","1097728"
"9254","1114112","1114112","1114112"
"9255","1114112","1114112","1114112"
"9256","1114112","1114112","1114112"
"9283","1114112","1114112","1114112"
"9284","1130496","1130496","1130496"
"9285","1130496","1130496","1130496"
"9286","1130496","1130496","1130496"
"9599","1130496","1130496","1130496"
"9600","1146880","1146880","1146880"
"9601","1146880","1146880","1146880"
"9602","1146880","1146880","1146880"
"9603","1146880","1146880","1146880"
"9604","1163264","1163264","1163264"
"9605","1163264","1163264","1163264"
"9606","1163264","1163264","1163264"
"9909","1163264","1163264","1163264"
"9910","1179648","1179648","1179648"
"9911","1179648","1179648","1179648"
"9912","1179648","1179648","1179648"
"9913","1179648","1179648","1179648"
"9914","1196032","1196032","1196032"
"9915","1196032","1196032","1196032"
"9916","1196032","1196032","1196032"
"9924","1196032","1196032","1196032"
"9925","1212416","1212416","1212416"
"9926","1212416","1212416","1212416"
"9927","1212416","1212416","1212416"
"10244","1212416","1212416","1212416"
"10245","1228800","1228800","1228800"
"10246","1228800","1228800","1228800"
"10247","1228800","1228800","1228800"
"10248","1228800","1228800","1228800"
"10249","1245184","1245184","1245184"
"10250","1245184","1245184","1245184"
"10251","1245184","1245184","1245184"
"10563","1245184","1245184","1245184"
"10564","1261568","1261568","1261568"
"10565","1261568","1261568","1261568"
"10566","1261568","1261568","1261568"
"10567","1261568","1261568","1261568"
"10568","1277952","1277952","1277952"
"10569","1277952","1277952","1277952"
"10570","1277952","1277952","1277952"
"10836","1277952","1277952","1277952"
"10837","1294336","1294336","1294336"
"10838","1294336","1294336","1294336"
"10839","1294336","1294336","1294336"
"10840","1294336","1294336","1294336"
"10841","1310720","1310720","1310720"
"10842","1310720","1310720","1310720"
"10843","1310720","1310720","1310720"
"10890","1310720","1310720","1310720"
"10891","1327104","1327104","1327104"
"10892","1327104","1327104","1327104"
"10893","1327104","1327104","1327104"
"11203","1327104","1327104","1327104"
"11204","1343488","1343488","1343488"
"11205","1343488","1343488","1343488"
"11206","1343488","1343488","1343488"
"11207","1343488","1343488","1343488"
"11208","1359872","1359872","1359872"
"11209","1359872","1359872","1359872"
"11210","1359872","1359872","1359872"
"11498","1359872","1359872","1359872"
"11499","1376256","1376256","1376256"
"11500","1376256","1376256","1376256"
"11501","1376256","1376256","1376256"
"11502","1376256","1376256","1376256"
"11503","1392640","1392640","1392640"
"11504","1392640","1392640","1392640"
"11505","1392640","1392640","1392640"
"11529","1392640","1392640","1392640"
"11530","1409024","1409024","1409024"
"11531","1409024","1409024","1409024"
"11532","1409024","1409024","1409024"
"11845","1409024","1409024","1409024"
"11846","1425408","1425408","1425408"
"11847","1425408","1425408","1425408"
"11848","1425408","1425408","1425408"
"11849","1425408","1425408","1425408"
"11850","1441792","1441792","1441792"
"11851","1441792","1441792","1441792"
"11852","1441792","1441792","1441792"
"12157","1441792","1441792","1441792"
"12158","1458176","1458176","1458176"
"12159","1458176","1458176","1458176"
"12160","1458176","1458176","1458176"
"12161","1458176","1458176","1458176"
"12162","1474560","1474560","1474560"
"12163","1474560","1474560","1474560"
"12164","1474560","1474560","1474560"
"12171","1474560","1474560","1474560"
"12172","1490944","1490944","1490944"
"12173","1490944","1490944","1490944"
"12174","1490944","1490944","1490944"
"12485","1490944","1490944","1490944"
"12486","1507328","1507328","1507328"
"12487","1507328","1507328","1507328"
"12488","1507328","1507328","1507328"
"12490","1507328","1507328","1507328"
"12491","1523712","1523712","1523712"
"12492","1523712","1523712","1523712"
"12493","1523712","1523712","1523712"
"12812","1523712","1523712","1523712"
"12813","1540096","1540096","1540096"
"12814","1540096","1540096","1540096"
"12815","1540096","1540096","1540096"
"12816","1540096","1540096","1540096"
"12817","1556480","1556480","1556480"
"12818","1556480","1556480","1556480"
"12819","1556480","1556480","1556480"
"13085","1556480","1556480","1556480"
"13086","1572864","1572864","1572864"
"13087","1572864","1572864","1572864"
"13088","1572864","1572864","1572864"
"13089","1572864","1572864","1572864"
"13090","1589248","1589248","1589248"
"13091","1589248","1589248","1589248"
"13092","1589248","1589248","1589248"
"13142","1589248","1589248","1589248"
"13143","1605632","1605632","1605632"
"13144","1605632","1605632","1605632"
"13145","1605632","1605632","1605632"
"13457","1605632","1605632","1605632"
"13458","1622016","1622016","1622016"
"13459","1622016","1622016","1622016"
"13460","1622016","1622016","1622016"
"13461","1622016","1622016","1622016"
"13462","1638400","1638400","1638400"
"13463","1638400","1638400","1638400"
"13464","1638400","1638400","1638400"
"13745","1638400","1638400","1638400"
"13746","1654784","1654784","1654784"
"13747","1654784","1654784","1654784"
"13748","1654784","1654784","1654784"
"13749","1654784","1654784","1654784"
"13750","1671168","1671168","1671168"
"13751","1671168","1671168","1671168"
"13752","1671168","1671168","1671168"
"13787","1671168","1671168","1671168"
"13788","1687552","1687552","1687552"
"13789","1687552","1687552","1687552"
"13790","1687552","1687552","1687552"
"14106","1687552","1687552","1687552"
"14107","1703936","1703936","1703936"
"14108","1703936","1703936","1703936"
"14109","1703936","1703936","1703936"
"14110","1703936","1703936","1703936"
"14111","1720320","1720320","1720320"
"14112","1720320","1720320","1720320"
"14113","1720320","1720320","1720320"
"14405","1720320","1720320","1720320"
"14406","1736704","1736704","1736704"
"14407","1736704","1736704","1736704"
"14408","1736704","1736704","1736704"
"14409","1736704","1736704","1736704"
"14410","1753088","1753088","1753088"
"14411","1753088","1753088","1753088"
"14412","1753088","1753088","1753088"
"14437","1753088","1753088","1753088"
"14438","1769472","1769472","1769472"
"14439","1769472","1769472","1769472"
"14440","1769472","1769472","1769472"
"14756","1769472","1769472","1769472"
"14757","1785856","1785856","1785856"
"14758","1785856","1785856","1785856"
"14759","1785856","1785856","1785856"
"14760","1785856","1785856","1785856"
"14761","1802240","1802240","1802240"
"14762","1802240","1802240","1802240"
"14763","1802240","1802240","1802240"
"15069","1802240","1802240","1802240"
"15070","1818624","1818624","1818624"
"15071","1818624","1818624","1818624"
"15072","1818624","1818624","1818624"
"15073","1818624","1818624","1818624"
"15074","1835008","1835008","1835008"
"15075","1835008","1835008","1835008"
"15076","1835008","1835008","1835008"
"15090","1835008","1835008","1835008"
"15091","1851392","1851392","1851392"
"15092","1851392","1851392","1851392"
"15093","1851392","1851392","1851392"
"15410","1851392","1851392","1851392"
"15411","1867776","1867776","1867776"
"15412","1867776","1867776","1867776"
"15413","1867776","1867776","1867776"
"15414","1867776","1867776","1867776"
"15415","1884160","1884160","1884160"
"15416","1884160","1884160","1884160"
"15417","1884160","1884160","1884160"
"15727","1884160","1884160","1884160"
"15728","1900544","1900544","1900544"
"15729","1900544","1900544","1900544"
"15730","1900544","1900544","1900544"
"15731","1900544","1900544","1900544"
"15732","1916928","1916928","1916928"
"15733","1916928","1916928","1916928"
"15734","1916928","1916928","1916928"
"15738","1916928","1916928","1916928"
"15739","1933312","1933312","1933312"
"15740","1933312","1933312","1933312"
"15741","1933312","1933312","1933312"
"16058","1933312","1933312","1933312"
"16059","1949696","1949696","1949696"
"16060","1949696","1949696","1949696"
"16061","1949696","1949696","1949696"
"16062","1949696","1949696","1949696"
"16063","1966080","1966080","1966080"
"16064","1966080","1966080","1966080"
"16065","1966080","1966080","1966080"
"16382","1966080","1966080","1966080"
"16383","1982464","1982464","1982464"
"16384","1982464","1982464","1982464"
"16385","1982464","1982464","1982464"
"16386","1982464","1982464","1982464"
"16387","1998848","1998848","1998848"
"16388","1998848","1998848","1998848"
"16389","1998848","1998848","1998848"
"16653","1998848","1998848","1998848"
"16654","2015232","2015232","2015232"
"16655","2015232","2015232","2015232"
"16656","2015232","2015232","2015232"
"16657","2015232","2015232","2015232"
"16658","2031616","2031616","2031616"
"16659","2031616","2031616","2031616"
"16660","2031616","2031616","2031616"
"16711","2031616","2031616","2031616"
"16712","2048000","2048000","2048000"
"16713","2048000","2048000","2048000"
"16714","2048000","2048000","2048000"
"17030","2048000","2048000","2048000"
"17031","2064384","2064384","2064384"
"17032","2064384","2064384","2064384"
"17033","2064384","2064384","2064384"
"17034","2064384","2064384","2064384"
"17035","2080768","2080768","2080768"
"17036","2080768","2080768","2080768"
"17037","2080768","2080768","2080768"
"17316","2080768","2080768","2080768"
"17317","2097152","2097152","2097152"
"17318","2097152","2097152","2097152"
"17319","2097152","2097152","2097152"
"17320","2097152","2097152","2097152"
"17321","2113536","2113536","2113536"
"17322","2113536","2113536","2113536"
"17323","2113536","2113536","2113536"
"17364","2113536","2113536","2113536"
"17365","2129920","2129920","2129920"
"17366","2129920","2129920","2129920"
"17367","2129920","2129920","2129920"
"17684","2129920","2129920","2129920"
"17685","2146304","2146304","2146304"
"17686","2146304","2146304","2146304"
"17687","2146304","2146304","2146304"
"17688","2146304","2146304","2146304"
"17689","2162688","2162688","2162688"
"17690","2162688","2162688","2162688"
"17691","2162688","2162688","2162688"
"17977","2162688","2162688","2162688"
"17978","2179072","2179072","2179072"
"17979","2179072","2179072","2179072"
"17980","2179072","2179072","2179072"
"17981","2179072","2179072","2179072"
"17982","2195456","2195456","2195456"
"17983","2195456","2195456","2195456"
"17984","2195456","2195456","2195456"
"18009","2195456","2195456","2195456"
"18010","2211840","2211840","2211840"
"18011","2211840","2211840","2211840"
"18012","2211840","2211840","2211840"
"18328","2211840","2211840","2211840"
"18329","2228224","2228224","2228224"
"18330","2228224","2228224","2228224"
"18331","2228224","2228224","2228224"
"18332","2228224","2228224","2228224"
"18333","2244608","2244608","2244608"
"18334","2244608","2244608","2244608"
"18335","2244608","2244608","2244608"
"18637","2244608","2244608","2244608"
"18638","2260992","2260992","2260992"
"18639","2260992","2260992","2260992"
"18640","2260992","2260992","2260992"
"18641","2260992","2260992","2260992"
"18642","2277376","2277376","2277376"
"18643","2277376","2277376","2277376"
"18644","2277376","2277376","2277376"
"18658","2277376","2277376","2277376"
"18659","2293760","2293760","2293760"
"18660","2293760","2293760","2293760"
"18661","2293760","2293760","2293760"
"18978","2293760","2293760","2293760"
"18979","2310144","2310144","2310144"
"18980","2310144","2310144","2310144"
"18981","2310144","2310144","2310144"
"18982","2310144","2310144","2310144"
"18983","2326528","2326528","2326528"
"18984","2326528","2326528","2326528"
"18985","2326528","2326528","2326528"
"19301","2326528","2326528","2326528"
"19302","2342912","2342912","2342912"
"19303","2342912","2342912","2342912"
"19304","2342912","2342912","2342912"
"19305","2342912","2342912","2342912"
"19306","2359296","2359296","2359296"
"19307","2359296","2359296","2359296"
"19308","2359296","2359296","2359296"
"19312","2359296","2359296","2359296"
"19313","2375680","2375680","2375680"
"19314","2375680","2375680","2375680"
"19315","2375680","2375680","2375680"
"19631","2375680","2375680","2375680"
"19632","2392064","2392064","2392064"
"19633","2392064","2392064","2392064"
"19634","2392064","2392064","2392064"
"19635","2392064","2392064","2392064"
"19636","2408448","2408448","2408448"
"19637","2408448","2408448","2408448"
"19638","2408448","2408448","2408448"
"19955","2408448","2408448","2408448"
"19956","2424832","2424832","2424832"
"19957","2424832","2424832","2424832"
"19958","2424832","2424832","2424832"
"19959","2424832","2424832","2424832"
"19960","2441216","2441216","2441216"
"19961","2441216","2441216","2441216"
"19962","2441216","2441216","2441216"
"20224","2441216","2441216","2441216"
"20225","2457600","2457600","2457600"
"20226","2457600","2457600","2457600"
"20227","2457600","2457600","2457600"
"20228","2457600","2457600","2457600"
"20229","2473984","2473984","2473984"
"20230","2473984","2473984","2473984"
"20231","2473984","2473984","2473984"
"20285","2473984","2473984","2473984"
"20286","2490368","2490368","2490368"
"20287","2490368","2490368","2490368"
"20288","2490368","2490368","2490368"
"20602","2490368","2490368","2490368"
"20603","2506752","2506752","2506752"
"20604","2506752","2506752","2506752"
"20605","2506752","2506752","2506752"
"20606","2506752","2506752","2506752"
"20607","2523136","2523136","2523136"
"20608","2523136","2523136","2523136"
"20609","2523136","2523136","2523136"
"20885","2523136","2523136","2523136"
"20886","2539520","2539520","2539520"
"20887","2539520","2539520","2539520"
"20888","2539520","2539520","2539520"
"20889","2539520","2539520","2539520"
"20890","2555904","2555904","2555904"
"20891","2555904","2555904","2555904"
"20892","2555904","2555904","2555904"
"20932","2555904","2555904","2555904"
"20933","2572288","2572288","2572288"
"20934","2572288","2572288","2572288"
"20935","2572288","2572288","2572288"
"21257","2572288","2572288","2572288"
"21258","2588672","2588672","2588672"
"21259","2588672","2588672","2588672"
"21260","2588672","2588672","2588672"
"21261","2588672","2588672","2588672"
"21262","2605056","2605056","2605056"
"21263","2605056","2605056","2605056"
"21264","2605056","2605056","2605056"
"21548","2605056","2605056","2605056"
"21549","2621440","2621440","2621440"
"21550","2621440","2621440","2621440"
"21551","2621440","2621440","2621440"
"21552","2621440","2621440","2621440"
"21553","2637824","2637824","2637824"
"21554","2637824","2637824","2637824"
"21555","2637824","2637824","2637824"
"21587","2637824","2637824","2637824"
"21588","2654208","2654208","2654208"
"21589","2654208","2654208","2654208"
"21590","2654208","2654208","2654208"
"21907","2654208","2654208","2654208"
"21908","2670592","2670592","2670592"
"21909","2670592","2670592","2670592"
"21910","2670592","2670592","2670592"
"21911","2670592","2670592","2670592"
"21912","2686976","2686976","2686976"
"21913","2686976","2686976","2686976"
"21914","2686976","2686976","2686976"
"22208","2686976","2686976","2686976"
"22209","2703360","2703360","2703360"
"22210","2703360","2703360","2703360"
"22211","2703360","2703360","2703360"
"22212","2703360","2703360","2703360"
"22213","2719744","2719744","2719744"
"22214","2719744","2719744","2719744"
"22215","2719744","2719744","2719744"
"22237","2719744","2719744","2719744"
"22238","2736128","2736128","2736128"
"22239","2736128","2736128","2736128"
"22240","2736128","2736128","2736128"
"22554","2736128","2736128","2736128"
"22555","2752512","2752512","2752512"
"22556","2752512","2752512","2752512"
"22557","2752512","2752512","2752512"
"22558","2752512","2752512","2752512"
"22559","2768896","2768896","2768896"
"22560","2768896","2768896","2768896"
"22561","2768896","2768896","2768896"
"22868","2768896","2768896","2768896"
"22869","2785280","2785280","2785280"
"22870","2785280","2785280","2785280"
"22871","2785280","2785280","2785280"
"22872","2785280","2785280","2785280"
"22873","2801664","2801664","2801664"
"22874","2801664","2801664","2801664"
"22875","2801664","2801664","2801664"
"22884","2801664","2801664","2801664"
"22885","2818048","2818048","2818048"
"22886","2818048","2818048","2818048"
"22887","2818048","2818048","2818048"
"23206","2818048","2818048","2818048"
"23207","2834432","2834432","2834432"
"23208","2834432","2834432","2834432"
"23209","2834432","2834432","2834432"
"23210","2834432","2834432","2834432"
"23211","2850816","2850816","2850816"
"23212","2850816","2850816","2850816"
"23213","2850816","2850816","2850816"
"23528","2850816","2850816","2850816"
"23529","2867200","2867200","2867200"
"23530","2867200","2867200","2867200"
"23531","2867200","2867200","2867200"
"23532","2867200","2867200","2867200"
"23533","2883584","2883584","2883584"
"23534","2883584","2883584","2883584"
"23535","2883584","2883584","2883584"
"23795","2883584","2883584","2883584"
"23796","2899968","2899968","2899968"
"23797","2899968","2899968","2899968"
"23798","2899968","2899968","2899968"
"23799","2899968","2899968","2899968"
"23800","2916352","2916352","2916352"
"23801","2916352","2916352","2916352"
"23802","2916352","2916352","2916352"
"23859","2916352","2916352","2916352"
"23860","2932736","2932736","2932736"
"23861","2932736","2932736","2932736"
"23862","2932736","2932736","2932736"
"24177","2932736","2932736","2932736"
"24178","2949120","2949120","2949120"
"24179","2949120","2949120","2949120"
"24180","2949120","2949120","2949120"
"24181","2949120","2949120","2949120"
"24182","2965504","2965504","2965504"
"24183","2965504","2965504","2965504"
"24184","2965504","2965504","2965504"
"24457","2965504","2965504","2965504"
"24458","2981888","2981888","2981888"
"24459","2981888","2981888","2981888"
"24460","2981888","2981888","2981888"
"24461","2981888","2981888","2981888"
"24462","2998272","2998272","2998272"
"24463","2998272","2998272","2998272"
"24464","2998272","2998272","2998272"
"24508","2998272","2998272","2998272"
"24509","3014656","3014656","3014656"
"24510","3014656","3014656","3014656"
"24511","3014656","3014656","3014656"
"24827","3014656","3014656","3014656"
"24828","3031040","3031040","3031040"
"24829","3031040","3031040","3031040"
"24830","3031040","3031040","3031040"
"24831","3031040","3031040","3031040"
"24832","3047424","3047424","3047424"
"24833","3047424","3047424","3047424"
"24834","3047424","3047424","3047424"
"25119","3047424","3047424","3047424"
"25120","3063808","3063808","3063808"
"25121","3063808","3063808","3063808"
"25122","3063808","3063808","3063808"
"25123","3063808","3063808","3063808"
"25124","3080192","3080192","3080192"
"25125","3080192","3080192","3080192"
"25126","3080192","3080192","3080192"
"25159","3080192","3080192","3080192"
"25160","3096576","3096576","3096576"
"25161","3096576","3096576","3096576"
"25162","3096576","3096576","3096576"
"25477","3096576","3096576","3096576"
"25478","3112960","3112960","3112960"
"25479","3112960","3112960","3112960"
"25480","3112960","3112960","3112960"
"25481","3112960","3112960","3112960"
"25482","3129344","3129344","3129344"
"25483","3129344","3129344","3129344"
"25484","3129344","3129344","3129344"
"25781","3129344","3129344","3129344"
"25782","3145728","3145728","3145728"
"25783","3145728","3145728","3145728"
"25784","3145728","3145728","3145728"
"25785","3145728","3145728","3145728"
"25786","3162112","3162112","3162112"
"25787","3162112","3162112","3162112"
"25788","3162112","3162112","3162112"
"25807","3162112","3162112","3162112"
"25808","3178496","3178496","3178496"
"25809","3178496","3178496","3178496"
"25810","3178496","3178496","3178496"
"26126","3178496","3178496","3178496"
"26127","3194880","3194880","3194880"
"26128","3194880","3194880","3194880"
"26129","3194880","3194880","3194880"
"26130","3194880","3194880","3194880"
"26131","3211264","3211264","3211264"
"26132","3211264","3211264","3211264"
"26133","3211264","3211264","3211264"
"26441","3211264","3211264","3211264"
"26442","3227648","3227648","3227648"
"26443","3227648","3227648","3227648"
"26444","3227648","3227648","3227648"
"26445","3227648","3227648","3227648"
"26446","3244032","3244032","3244032"
"26447","3244032","3244032","3244032"
"26448","3244032","3244032","3244032"
"26454","3244032","3244032","3244032"
"26455","3260416","3260416","3260416"
"26456","3260416","3260416","3260416"
"26457","3260416","3260416","3260416"
"26777","3260416","3260416","3260416"
"26778","3276800","3276800","3276800"
"26779","3276800","3276800","3276800"
"26780","3276800","3276800","3276800"
"26781","3276800","3276800","3276800"
"26782","3293184","3293184","3293184"
"26783","3293184","3293184","3293184"
"26784","3293184","3293184","3293184"
"27100","3293184","3293184","3293184"
"27101","3309568","3309568","3309568"
"27102","3309568","3309568","3309568"
"27103","3309568","3309568","3309568"
"27104","3309568","3309568","3309568"
"27105","3325952","3325952","3325952"
"27106","3325952","3325952","3325952"
"27107","3325952","3325952","3325952"
"27369","3325952","3325952","3325952"
"27370","3342336","3342336","3342336"
"27371","3342336","3342336","3342336"
"27372","3342336","3342336","3342336"
"27373","3342336","3342336","3342336"
"27374","3358720","3358720","3358720"
"27375","3358720","3358720","3358720"
"27376","3358720","3358720","3358720"
"27427","3358720","3358720","3358720"
"27428","3375104","3375104","3375104"
"27429","3375104","3375104","3375104"
"27430","3375104","3375104","3375104"
"27745","3375104","3375104","3375104"
"27746","3391488","3391488","3391488"
"27747","3391488","3391488","3391488"
"27748","3391488","3391488","3391488"
"27749","3391488","3391488","3391488"
"27750","3407872","3407872","3407872"
"27751","3407872","3407872","3407872"
"27752","3407872","3407872","3407872"
"28032","3407872","3407872","3407872"
"28033","3424256","3424256","3424256"
"28034","3424256","3424256","3424256"
"28035","3424256","3424256","3424256"
"28036","3424256","3424256","3424256"
"28037","3440640","3440640","3440640"
"28038","3440640","3440640","3440640"
"28039","3440640","3440640","3440640"
"28079","3440640","3440640","3440640"
"28080","3457024","3457024","3457024"
"28081","3457024","3457024","3457024"
"28082","3457024","3457024","3457024"
"28398","3457024","3457024","3457024"
"28399","3473408","3473408","3473408"
"28400","3473408","3473408","3473408"
"28401","3473408","3473408","3473408"
"28402","3473408","3473408","3473408"
"28403","3489792","3489792","3489792"
"28404","3489792","3489792","3489792"
"28405","3489792","3489792","3489792"
"28691","3489792","3489792","3489792"
"28692","3506176","3506176","3506176"
"28693","3506176","3506176","3506176"
"28694","3506176","3506176","3506176"
"28695","3506176","3506176","3506176"
"28696","3522560","3522560","3522560"
"28697","3522560","3522560","3522560"
